xIn	yIn
-0.839804076	0.433333653
0.326548067	-0.462646682
0.589983395	-0.606427732
0.085437997	-0.394832265
0.554780503	-0.145846991
-0.472964639	0.046853247
0.749263690	0.376199199
0.884061447	0.422371710
0.543969542	0.703217112
0.097287477	-0.526956932
-0.212241207	-0.044474627
0.292833258	0.675287333
-0.060727132	-0.101776875
0.476383933	0.099468792
-0.668443223	-0.197068002
0.196504267	-0.277739893
-0.473292093	-0.248715232
0.576413115	0.053743268
0.798138015	0.325676805
-0.570057533	0.682199462
-0.251951486	0.845313489
0.610805299	-0.707981945
0.548530601	-0.291907225
-0.234938877	-0.663710607
0.663618148	-0.297482349
-0.622195016	-0.060747400
-0.342879086	0.675543503
-0.602196391	-0.365520615
0.688222654	-0.596952037
0.299893529	-0.881834880
-0.660039902	0.512009209
-0.595854502	0.105021221
0.024215051	-0.814656145
-0.212469067	-0.121110419
-0.960467230	-0.173747675
0.065120888	-0.303346315
-0.498204172	0.172892366
-0.449721135	-0.100400563
0.807371751	0.155188813
-0.126183839	0.495594404
0.558236777	-0.826290310
0.613759524	0.643484201
-0.778348268	0.577238132
0.339536925	-0.438388169
0.089247340	0.743682423
0.666633053	-0.062454058
0.811446068	0.474171924
-0.214175725	-0.164338883
0.659515780	0.573355208
0.714550698	0.699048551
-0.600392467	-0.220328415
-0.604297765	-0.098596640
0.952563951	-0.054018900
-0.898830087	-0.325181042
0.255530106	0.659406690
-0.151471353	-0.130710370
0.302890891	0.070180380
-0.553472239	-0.357572186
0.631792211	0.535775102
-0.613889764	0.298425262
-0.526678958	-0.802443697
-0.227402813	0.259145317
0.033217420	-0.567887034
-0.167499476	-0.252231882
-0.868838484	0.232108057
0.527439703	-0.473136249
-0.866488583	0.480003654
0.239939355	0.574014764
-0.390666828	-0.504530540
0.233421454	0.457861819
0.364759089	-0.463687656
-0.471957802	0.811286851
0.178740158	-0.840165591
0.347061951	0.564850394
0.458259672	0.820382994
0.079528310	-0.204375883
-0.337030177	0.912028834
0.543392235	-0.205868660
0.144136891	0.070831938
0.320995091	0.277648308
-0.449164409	-0.206160059
0.212162522	0.790774946
-0.713755595	0.601276159
0.279357512	0.651003495
0.462290345	0.316328660
0.967234121	-0.190647705
-0.118820946	0.425493791
-0.370264712	-0.356414250
0.656350650	0.709263597
0.439209867	-0.680679528
0.621292431	-0.017397898
0.113451812	-0.234570679
0.228286844	0.255240151
-0.604955424	0.596141550
0.076735844	-0.318711020
0.197417708	-0.643906644
-0.667707526	0.335006210
-0.348665131	-0.869272814
-0.396064887	0.532513923
0.556220978	0.233670400
-0.823900328	0.212571627
-0.057066003	0.615309539
0.531892099	-0.435773573
-0.402088360	-0.354656089
0.329655748	-0.348654320
0.079790813	0.372733378
0.255615310	-0.691922343
-0.372026472	0.650659886
-0.668051134	0.101636913
-0.939197272	-0.335758660
-0.563356878	-0.775704206
-0.541175841	0.087977991
-0.644977019	0.062759271
-0.379508087	0.911243959
-0.703570329	-0.203408415
0.123815585	0.239363668
-0.588098876	-0.344292316
0.803590096	0.009812764
0.301051595	0.133245844
0.661158445	-0.619157592
-0.494020779	-0.083226245
-0.311079935	0.133952749
-0.432566359	-0.406860728
-0.161337879	-0.100617493
0.694776185	-0.100535151
0.123760644	-0.977551995
0.219397298	0.478783625
0.085207277	0.839889212
0.390027583	0.381636949
-0.363519204	-0.486156832
-0.378999384	0.048381920
0.169550852	-0.575409288
0.557836556	0.719353129
-0.148555145	-0.936184225
-0.363873117	0.540364920
0.197768525	0.203560523
-0.064104505	0.666566877
0.689014883	0.179096980
0.538439763	-0.225777841
0.018986190	-0.071532655
0.442310513	-0.223140276
-0.296151095	-0.388138636
0.201450436	-0.237956411
0.082463811	-0.240713009
-0.176897234	0.117523601
-0.678915877	0.607777776
0.436058151	-0.006802569
-0.909405970	0.395757833
0.052853570	0.779608913
-0.425145188	-0.408706668
-0.446168928	0.593841003
0.519760677	-0.290309821
0.249307989	-0.037928811
0.573932553	-0.311999662
-0.284799517	-0.343603637
0.447287329	0.196597200
-0.409694972	-0.729609905
-0.708738614	-0.364795075
0.672356388	-0.651436677
0.059232078	0.108414539
0.341760754	0.149826108
-0.495827629	-0.605385677
-0.070564980	0.079027183
-0.014092344	0.483266092
-0.327131815	-0.494331668
0.467739521	0.679506174
0.875333068	0.041672075
-0.632493487	-0.409466450
-0.647047922	-0.623554678
-0.274991355	0.795688554
0.133723004	-0.933230600
-0.054485339	0.637895375
-0.283077443	0.447291379
0.358215772	0.389790743
0.311966916	0.420699232
0.230678216	0.187299983
-0.537628694	0.598184729
0.412978571	0.564964284
-0.551186791	0.498162507
0.666215835	-0.198234713
-0.172926248	-0.400383525
-0.333614126	0.143875523
0.598692131	0.127769598
0.018825203	-0.684385312
-0.424939024	-0.622959026
0.705405432	-0.471979313
0.928213017	0.017372347
0.948719919	0.158891233
-0.795327670	-0.588908776
-0.428469034	-0.829945469
0.547470147	0.020344176
0.668217039	0.213685981
0.822109463	0.542824868
0.616358290	-0.350816785
-0.390020029	-0.191172783
-0.041405325	-0.791327898
-0.475713210	-0.488342209
0.039678477	-0.717326132
0.247064568	-0.011601605
0.441565102	0.451736898
0.399489619	-0.801358938
-0.631304406	-0.018287093
-0.008635239	-0.963087369
-0.804601112	-0.186525778
0.579737499	0.811757178
