xIn	yIn
0.296163682	0.644669600
-0.329803739	0.151197620
0.058473658	0.927602892
0.581478597	-0.401708860
-0.778011206	-0.411922353
0.404479413	0.646948218
-0.897089968	0.236329632
-0.022350088	-0.814928752
0.516612936	-0.726186406
0.425011215	0.571727586
0.921731192	0.386885305
0.436715557	-0.019795151
0.314488195	0.701575503
-0.004825565	-0.104033207
-0.700133358	0.217163229
0.484044440	-0.732562483
-0.413353839	-0.111476147
0.914385735	-0.283322203
-0.505844766	0.692504724
-0.275865993	0.471805146
-0.572443863	0.170629954
0.279044404	-0.650712672
-0.442484742	-0.284240040
0.329492177	0.872003454
-0.582664538	-0.675333389
-0.232029754	-0.282797896
0.541829841	-0.747985314
-0.015360379	-0.871523999
0.140538538	-0.100974645
-0.154846201	0.639786108
-0.083678878	-0.201838772
-0.821330568	0.410476356
-0.509334049	-0.097196561
-0.117718500	-0.631758077
0.143550381	-0.372099760
0.798530194	0.354603146
-0.929636895	0.249886021
-0.771951095	-0.512301433
0.574552633	-0.003980849
0.204900671	0.116382473
0.248033836	-0.810459708
0.244858474	-0.611427626
0.088565647	-0.909987727
-0.111826500	-0.792972086
0.415363123	0.378839452
0.109831353	-0.702355376
-0.074455136	0.822640117
0.824488251	-0.275924943
0.177243262	0.744882096
0.080120509	0.247606367
-0.005231884	0.308169414
0.735304935	-0.430679252
-0.695811436	-0.059794395
0.685703221	0.552222401
0.129745897	-0.069438305
0.020573968	0.969153256
0.287586920	0.286012523
0.936206060	0.034668294
0.539394256	-0.138249077
-0.142691589	0.363882508
0.108764603	-0.334053511
0.282158039	-0.896467281
0.974115903	0.017462973
-0.327146533	-0.721695534
0.830526867	0.087414476
0.289118382	0.771321640
0.305726020	-0.690307652
0.740474895	0.528924334
0.167485769	0.506026736
0.202668587	0.103691829
-0.459304970	-0.257937157
0.432555114	0.214709953
-0.782784779	-0.285286848
0.318242673	-0.808668878
-0.530364412	0.689844704
-0.650347174	-0.699837546
-0.222740821	0.638771209
0.728615055	-0.220604699
0.672930110	-0.068716359
0.611628581	0.779291835
0.399798613	0.044183693
-0.005998213	0.617013833
0.808344956	0.491072971
0.180917674	-0.347006576
-0.708235368	-0.350372906
-0.538413917	0.653071584
0.121484777	-0.684445986
-0.706313189	-0.205168739
-0.425876905	0.563882508
-0.050500915	0.568124882
0.180896340	-0.291604070
0.880369341	-0.010758704
0.267221841	0.380386575
-0.163296639	0.845364840
0.338563427	0.128467993
-0.505008068	0.379725479
0.368696183	-0.043421985
0.032797062	0.775827745
0.146779152	0.465263948
0.063095190	0.944901857
0.508784364	0.004390702
0.205343167	-0.310319297
0.712786632	0.085712507
0.269422444	-0.053856160
0.292642107	-0.893874194
-0.208491321	-0.368794466
0.234593799	0.286500611
-0.756921375	0.043728075
-0.620882275	0.389857777
-0.491007979	-0.764992860
0.658121707	-0.710190018
-0.615416634	-0.278783104
-0.765288162	-0.560525016
-0.641564819	0.743496202
0.443865686	0.563778348
-0.566823096	0.156652319
-0.350509146	-0.887901097
0.068907851	0.918913298
0.058242743	-0.638450042
-0.007244508	0.259632903
0.136252032	0.003686504
0.862922884	0.379330658
-0.230811566	-0.443593400
-0.522952252	-0.572689860
-0.153783418	-0.138368885
0.148527037	0.080928420
0.301106100	0.506962218
-0.175575379	-0.255028215
0.070740565	0.257601525
0.369700430	-0.029468045
0.639144717	-0.572056828
0.332081913	0.664183820
-0.722305406	-0.675162596
-0.076183278	0.413946626
0.328523907	-0.213260395
-0.206722716	0.375938485
0.028780213	0.562465719
-0.632540923	0.138302895
-0.354734888	-0.316085294
-0.586463040	0.716005677
0.436237096	0.311216661
0.285693019	0.075381812
0.739159834	-0.382225069
-0.057387665	0.663382354
0.430801054	-0.728863759
-0.549878042	-0.775921663
0.647074726	0.478902172
0.786544056	0.579419811
-0.015269867	0.776319914
-0.642018524	0.352189210
-0.085377192	-0.782528438
0.020754385	0.559887921
-0.098613731	0.434291346
0.275893598	-0.157097499
0.749452410	-0.287869307
-0.845880839	0.035145429
0.652920360	-0.472921864
0.910133422	-0.404467307
-0.809539511	0.340934476
-0.133331066	-0.359417553
0.565012813	-0.486256339
-0.880515382	0.351556868
-0.906836529	0.104214752
0.127876781	-0.548855053
-0.331383491	0.477158346
0.602387511	0.570002779
-0.088550308	-0.121718892
-0.587094721	-0.339097899
0.590411801	-0.432975559
0.696047530	0.377924305
-0.539696565	0.348967889
0.711371333	-0.188830483
-0.263954622	0.276384146
0.324913177	-0.144470004
-0.372058987	0.418076648
0.798317385	-0.462161896
0.893307055	0.400704895
-0.892159117	-0.195243254
-0.721013998	-0.479253838
0.465658847	0.869397803
0.087770603	0.161706376
0.247322107	0.548074038
-0.489325735	0.152324549
0.247787478	0.629882227
-0.093733628	-0.408742458
-0.160637148	0.534207386
0.290025180	0.878555785
0.215256308	0.088342564
-0.583606111	0.108563362
-0.510952542	-0.475765228
0.913320108	-0.231966541
0.044980934	0.378978955
-0.362568739	-0.867248463
-0.459314669	0.884753370
0.680825575	0.051359596
0.037077917	0.599336470
0.506534444	-0.715134606
0.229218697	-0.227121192
0.364136350	0.108061102
0.669692455	0.373470539
0.907168701	-0.040282366
0.252026324	0.122425008
-0.769011630	-0.462892346
0.305141113	0.237635919
0.827325744	0.051213031
0.115332360	-0.135596339
-0.349450499	-0.378133196
0.149269055	0.879768197
0.394745612	0.417967305
-0.473971594	0.684945720
-0.355336647	0.384378823
0.555622116	-0.307276451
0.052799035	0.786610486
0.229831203	0.245454020
-0.516910061	0.454206397
0.518179160	-0.695129565
-0.095309575	-0.366488481
0.169274096	0.555239926
0.255378323	-0.681456850
0.435008123	-0.349876065
0.736510456	0.450261389
0.409005896	-0.737461138
0.135207109	0.541358396
-0.304264031	0.779870462
-0.074262782	-0.748641916
0.223990274	0.968887532
0.423093928	-0.285057778
0.560557607	-0.058726913
0.019812657	-0.534751967
0.574784607	-0.810913248
-0.979512042	-0.169837070
-0.492370097	0.455496081
0.480286865	-0.755859641
-0.094242530	-0.110707240
-0.569348844	0.202415189
0.820835039	0.356388375
0.453773273	-0.706570951
0.334924629	0.491741841
0.460629374	-0.766748207
-0.734004886	-0.116276700
-0.051805984	0.826552722
-0.708199247	0.399780995
-0.770056076	-0.335276671
-0.091136313	-0.326457739
-0.400476451	0.415542908
-0.285493161	0.030174705
-0.382041903	-0.464658122
-0.171229073	0.721487707
0.563473211	-0.175374810
-0.719597392	0.024102584
0.057876984	-0.453602277
-0.627049556	0.732822272
0.132603266	-0.868828903
-0.022960091	0.362547191
-0.204105574	-0.255175298
0.072777979	0.704758113
0.418366964	0.672301528
0.120301021	-0.867126197
-0.297523767	0.738259118
-0.331784320	0.089039311
0.809990487	0.496986607
-0.189472981	0.373463697
-0.678388203	0.090929627
-0.602433719	0.379488781
0.637327351	-0.694607835
-0.324971009	0.170817703
0.490808550	0.652068902
-0.466635108	-0.713297025
-0.603106397	0.606142871
0.278444399	0.111762109
-0.149978774	-0.383649951
0.069959942	-0.339988288
-0.028583413	-0.568958310
0.814437233	-0.391256063
-0.263566145	0.199997012
-0.380978269	-0.225351709
-0.440365537	0.294050722
-0.053880377	-0.521169115
-0.662854012	0.343013226
0.158273792	0.363418154
0.440369185	0.106408161
0.344338785	-0.709609590
0.722758210	-0.585701274
-0.049597878	0.836094865
-0.705214314	-0.016122469
-0.728956683	0.266202273
0.285477561	-0.506032060
-0.073998633	0.845112024
0.788018663	-0.128532640
0.895555037	-0.265861715
0.350298245	-0.767298976
-0.438691900	0.235425303
-0.442672334	0.242469815
0.900686538	-0.147886648
0.792619643	0.542687963
-0.512770224	-0.281378991
0.387799986	-0.724751562
0.590088369	0.283355022
0.009386723	-0.059613386
0.516056047	0.086538234
-0.678036463	0.174348769
-0.920958570	-0.336202999
0.317377709	-0.628890876
-0.271611327	0.874705374
0.613578939	-0.370924789
-0.273181274	0.839926285
-0.199194936	-0.154865649
0.481192851	0.058015467
-0.161603815	0.273812494
-0.399296571	0.325625961
0.600874400	0.582521871
0.271858437	-0.389738877
-0.477091515	-0.212085518
0.696799357	-0.101432900
-0.134721372	-0.981237106
-0.927084131	-0.055679942
-0.317440105	0.390293577
0.315429181	0.410948568
0.264998952	-0.070991880
-0.231065596	-0.159171157
-0.163047973	-0.749872745
0.523939749	-0.500452262
0.000974174	0.516373251
-0.511948847	-0.398151427
0.098895122	0.759909590
0.212109696	0.621803608
-0.452175928	-0.091090947
-0.479629294	0.413102700
-0.072328053	-0.406713425
-0.642577242	0.610231842
0.021180409	0.248579104
-0.398139941	0.061204187
0.240396781	0.370794464
0.752697020	0.144861467
-0.699574924	-0.246328807
-0.338765283	-0.211523771
0.355519767	0.760129839
-0.451614181	-0.432370539
0.381933446	0.096209891
-0.490687410	-0.595789539
-0.504409273	-0.133264652
-0.460412713	0.035622711
0.727749984	0.141447346
-0.903173103	-0.031853237
0.045495570	-0.866836473
0.799737265	-0.201807410
0.278024994	-0.899837660
-0.111361430	-0.092616451
0.699389550	0.437024389
0.475013011	0.081322995
-0.466765721	-0.048448476
-0.016372853	0.042546869
0.355761986	0.479217875
0.909282218	0.370204287
-0.594173003	0.686138738
0.590316851	-0.497346106
-0.345714500	-0.897441341
-0.498486180	0.699781071
-0.502026340	0.513747181
0.453006890	0.290051996
-0.042779008	0.152396439
-0.272923615	-0.567765998
-0.766280566	0.260310663
0.383785526	0.217346580
-0.697142469	-0.260452489
-0.303435546	-0.787860252
-0.890248202	-0.345046792
-0.338990748	-0.484421205
-0.658908055	-0.748673897
0.018232691	-0.004622555
-0.646115238	0.519746511
-0.304841485	-0.410393052
0.820997597	0.193132176
0.242969619	0.556361019
0.512463018	-0.799809391
-0.291242542	-0.760460598
-0.367575389	-0.057523109
-0.244242352	-0.143612074
-0.985152655	-0.134490554
0.511341134	-0.324143403
0.381088242	0.852433079
-0.072817300	-0.600679069
-0.152189476	0.281067462
0.530389558	0.474939078
0.714478480	-0.188313947
0.181623907	0.214328544
-0.172103811	0.341447379
0.017036140	0.583653837
-0.802164695	0.031883484
-0.550836718	0.709176439
0.561609518	-0.365077219
-0.770427544	-0.590579959
0.888704937	-0.311509706
-0.332438873	0.291082753
0.326120074	-0.153177430
0.530229768	0.040598552
0.658508623	-0.288146325
-0.745072905	-0.513595188
-0.946698946	0.271963236
-0.696153281	-0.480778068
-0.650526544	0.521922314
-0.353490418	-0.420954088
-0.272314190	0.883731435
-0.650835519	-0.383609254
-0.427778272	-0.890142326
-0.532428257	0.239782856
0.400940426	0.793691817
-0.913394575	-0.068829806
-0.165709631	0.745114049
0.643023870	0.089217464
-0.638819301	-0.698422491
-0.179200559	0.907774080
-0.323385781	0.170272897
0.429696394	0.323123801
0.749318809	0.361038748
0.244770182	-0.765211893
0.093395365	0.816991911
-0.655354218	0.560967108
0.056774767	0.745586208
0.354658925	0.143380192
-0.323243598	-0.811050707
-0.111505760	-0.680219729
0.278166757	0.120013100
0.871340555	-0.019010908
0.412662946	0.301036948
-0.695887106	0.161981755
-0.337924304	-0.810263480
-0.575475372	-0.267618263
0.723837788	-0.230829591
-0.706651155	-0.219387446
-0.485243384	0.648007770
0.923992746	0.191513018
0.836957063	-0.187513015
0.511293289	0.115123818
-0.245528726	0.354090694
0.490964958	0.058846147
0.596480743	0.362305513
-0.960164760	0.009143688
-0.336657540	-0.656051867
-0.828874558	0.325418156
-0.466315347	0.810111815
0.232264034	-0.041790719
-0.457506448	-0.043898179
0.727379691	-0.164157603
-0.516149834	0.660707122
0.433649325	-0.679192772
-0.526805894	-0.055057385
0.435931046	-0.594305809
-0.527658904	-0.809597680
0.249248467	0.356265627
0.325611568	0.289083707
0.633031840	-0.463465242
0.314372184	-0.833283506
-0.653353428	-0.453363782
0.124925775	-0.110859876
0.502738039	-0.147694534
0.724982521	0.239452414
0.094441773	-0.791167313
-0.099840466	-0.471908903
-0.470360085	0.373353641
0.908680864	0.405221748
-0.104901657	0.234292430
-0.305694545	0.260507658
0.223246458	-0.672662706
0.797042415	-0.462381359
-0.505946212	-0.856311013
0.084254859	0.618979564
0.032829111	-0.413007103
-0.528714971	-0.242188368
-0.033355681	-0.273395154
0.461855196	0.879006318
0.512226419	0.617828477
0.417839033	0.420907282
0.023050224	-0.687062625
-0.344800288	0.717355679
-0.583935190	-0.461253240
0.514176436	0.500319669
-0.842273677	-0.452994453
-0.912687435	-0.370988648
0.304817179	0.913757877
-0.359637278	-0.711443948
0.767745732	-0.259678792
0.855407663	0.229600927
-0.380672475	0.367634081
-0.152570597	-0.962833442
-0.211458638	0.870479628
-0.649896066	0.443741074
0.322187242	0.632528279
0.294036416	0.738252052
-0.828724961	-0.191787149
0.238571721	-0.670998637
0.355218397	0.325884286
-0.041987285	-0.339964425
0.239642162	0.152750868
-0.068502927	0.880004885
0.441306920	-0.300757195
-0.379673908	0.296714581
0.928843733	0.239653618
-0.335651339	-0.223726865
0.276820176	0.452890023
-0.353247237	0.626924109
-0.103368904	-0.765411931
0.550473077	-0.781181662
0.867116348	-0.155490508
0.652722343	0.195642110
-0.632607250	0.007940740
-0.478473604	0.325405465
-0.521843668	-0.400526613
0.298716193	-0.738500466
0.216177833	0.227559925
0.333416518	-0.349414177
-0.595102564	-0.769952387
-0.114826108	0.955370513
-0.551134049	-0.247709761
-0.200119996	-0.594063660
-0.209318374	-0.547397654
0.601578451	0.158074376
0.460543086	-0.876895155
-0.516520160	0.128519401
0.884273403	-0.038363828
0.727992788	0.525446845
-0.118900576	0.026708980
-0.745731097	0.288099530
-0.933927144	0.311220268
-0.091312213	-0.529029708
0.541267882	0.793861679
-0.453848083	0.226220808
-0.603929827	0.336833543
-0.505092082	0.139366239
-0.879246532	-0.021612242
0.530473716	-0.178876646
0.022587406	0.317420095
-0.081599390	0.276856309
-0.394480376	-0.103795639
0.534958273	-0.328407520
-0.792575370	-0.556353941
0.142562772	0.748692511
-0.762492264	0.568903575
0.738826345	-0.216340346
-0.204875618	-0.865103483
-0.867454860	-0.384598885
0.613313774	-0.746701392
-0.741674522	0.533812802
-0.645063844	-0.100334757
0.106219288	0.273336766
-0.616668608	-0.623034243
-0.844874116	0.525894165
0.094797739	0.864484612
0.176293275	0.889922122
-0.614775125	0.505976458
0.858382843	-0.356449646
0.039789260	0.735460681
-0.567650452	0.394725416
-0.364874076	0.538568837
-0.331937819	-0.188352523
0.250307750	-0.162396692
-0.476872698	0.633639142
0.214569064	-0.321746814
0.159533306	0.340227333
0.070886808	-0.745668955
0.204711943	-0.752819918
-0.855746834	0.204093072
0.543966554	-0.491877177
0.336019340	0.456154139
-0.514693746	0.721244216
-0.037869403	-0.656310904
-0.920850224	-0.202855883
0.396645272	-0.285724300
0.525923177	0.586020703
-0.097689240	-0.950949521
0.219659845	-0.883120176
-0.272696335	-0.620806850
0.457107156	0.798190473
