samples	R	errR	EOCR	M	errM	EOCM	T	errT	EOCT	G	errG	EOCG	S	errS	EOCS
2	0.426504278	0.548626883	0.866102779	-1.158836884	1.036714279	-0.052018339	0.444935199	0.567057804	0.818432290	0.247496898	0.369619502	1.435887214	-0.624246190	0.502123585	0.993885604	
4	-0.366166303	0.244043698	1.168685816	-0.000000000	0.122122605	3.085616169	-0.356950842	0.234828238	1.271889904	-0.123403192	0.001280587	8.173091597	-0.118983614	0.003138990	7.321598027	
8	-0.183083151	0.060960547	2.001191749	-0.092318276	0.029804329	2.034736477	-0.178475421	0.056352817	2.059046276	-0.122840551	0.000717946	0.834858394	-0.121037324	0.001085280	1.532232921	
16	-0.137700714	0.015578109	1.968355724	-0.115374767	0.006747837	2.143024820	-0.135396849	0.013274244	2.085858032	-0.122171747	0.000049142	3.868848801	-0.122048794	0.000073810	3.878104969	
32	-0.126537741	0.004415136	1.818990358	-0.120483980	0.001638624	2.041939875	-0.125385808	0.003263203	2.024268879	-0.122125725	0.000003120	3.977191658	-0.122117923	0.000004682	3.978662394	
64	-0.123510860	0.001388256	1.669184514	-0.121716019	0.000406585	2.010855947	-0.122934894	0.000812289	2.006223107	-0.122122800	0.000000196	3.994824475	-0.122122311	0.000000294	3.995150546	
128	-0.122613440	0.000490835	1.499962431	-0.122021151	0.000101454	2.002736985	-0.122325457	0.000202852	2.001565235	-0.122122617	0.000000012	3.998737717	-0.122122586	0.000000018	3.998816847	
256	-0.122317295	0.000194691	1.334054027	-0.122097253	0.000025351	2.000685681	-0.122173304	0.000050699	2.000391896	-0.122122605	0.000000001	3.999685879	-0.122122603	0.000000001	3.999706475	
512	-0.122207274	0.000084670	1.201266606	-0.122116268	0.000006337	2.000171510	-0.122135279	0.000012674	2.000098011	-0.122122605	0.000000000	3.999915430	-0.122122605	0.000000000	3.999934970	
1024	-0.122161771	0.000039166	1.112232607	-0.122121020	0.000001584	2.000042889	-0.122125773	0.000003168	2.000024505	-0.122122605	0.000000000	3.999730915	-0.122122605	0.000000000	4.000058316	
2048	-0.122141396	0.000018791	1.059568049	-0.122122209	0.000000396	2.000010646	-0.122123397	0.000000792	2.000006127	-0.122122605	0.000000000	3.996663004	-0.122122605	0.000000000	4.003714745	
4096	-0.122131802	0.000009197	1.030732249	-0.122122506	0.000000099	2.000002950	-0.122122803	0.000000198	2.000001528	-0.122122605	0.000000000	3.980784307	-0.122122605	0.000000000	4.036039340	
8192	-0.122127154	0.000004549	1.015615130	-0.122122580	0.000000025	2.000001106	-0.122122654	0.000000050	2.000000359	-0.122122605	0.000000000	2.631256153	-0.122122605	0.000000000	3.480735132	
16384	-0.122124867	0.000002262	1.007871401	-0.122122598	0.000000006	1.999973228	-0.122122617	0.000000012	1.999999958	-0.122122605	0.000000000	0.131244533	-0.122122605	0.000000000	3.781359714	
32768	-0.122123733	0.000001128	1.003951865	-0.122122603	0.000000002	2.000302982	-0.122122608	0.000000003	2.000000903	-0.122122605	0.000000000	2.729352410	-0.122122605	0.000000000	-3.357552005	
65536	-0.122123168	0.000000563	1.001979996	-0.122122604	0.000000000	1.998892180	-0.122122605	0.000000001	2.000000977	-0.122122605	0.000000000	-3.823534849	-0.122122605	0.000000000	0.357552005	
131072	-0.122122886	0.000000281	1.000991013	-0.122122605	0.000000000	2.007034219	-0.122122605	0.000000000	1.999991045	-0.122122605	0.000000000	0.201097643	-0.122122605	0.000000000	0.245112498	
262144	-0.122122745	0.000000141	1.000495894	-0.122122605	0.000000000	2.021275617	-0.122122605	0.000000000	2.000099393	-0.122122605	0.000000000	-0.078002512	-0.122122605	0.000000000	-2.562525112	
524288	-0.122122675	0.000000070	1.000247657	-0.122122605	0.000000000	1.568827950	-0.122122605	0.000000000	2.000030233	-0.122122605	0.000000000	0.424805276	-0.122122605	0.000000000	2.032010395	
1048576	-0.122122640	0.000000035	1.000123841	-0.122122605	0.000000000	0.911437865	-0.122122605	0.000000000	1.996482267	-0.122122605	0.000000000	-1.241309635	-0.122122605	0.000000000	-0.547487795	
